加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化wide_cnn模型...
模型參數數量: 21,335,972
開始訓練 wide_cnn 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [00:39<01:20,  8.39it/s, loss=3.4675, acc=5.39%, time=0.034s]
 批次 890/990 | 損失: 3.6319 | 準確率: 0.0800 | 批次時間: 0.034秒
 批次 900/990 | 損失: 3.6289 | 準確率: 0.0802 | 批次時間: 0.277秒
 批次 910/990 | 損失: 3.6259 | 準確率: 0.0807 | 批次時間: 0.034秒
 批次 920/990 | 損失: 3.6243 | 準確率: 0.0808 | 批次時間: 0.034秒
 批次 930/990 | 損失: 3.6223 | 準確率: 0.0812 | 批次時間: 0.034秒
 批次 940/990 | 損失: 3.6204 | 準確率: 0.0815 | 批次時間: 0.034秒
 批次 950/990 | 損失: 3.6180 | 準確率: 0.0818 | 批次時間: 0.034秒
 批次 960/990 | 損失: 3.6154 | 準確率: 0.0821 | 批次時間: 0.034秒
 批次 970/990 | 損失: 3.6137 | 準確率: 0.0824 | 批次時間: 0.034秒
 批次 980/990 | 損失: 3.6115 | 準確率: 0.0824 | 批次時間: 0.034秒
 批次 990/990 | 損失: 3.6086 | 準確率: 0.0827 | 批次時間: 0.034秒
訓練階段完成 | 平均損失: 3.6086 | 準確率: 0.0827 | 平均批次時間: 0.036秒 | 總時間: 122.39秒

驗證階段:
驗證 Epoch 1/20: 100%|████████████████████████| 8/8 [00:00<00:00, 11.34it/s, loss=2.6237, acc=14.44%]
 驗證批次 8/8 | 當前準確率: 0.1444
驗證階段完成 | 平均損失: 3.2729 | 準確率: 0.1444 | 耗時: 0.71秒
發現更好的模型! 保存到 checkpoints/wide_cnn_best.pth
新的最佳驗證準確率: 0.1444
Epoch 1/20 完成 | 總耗時: 123.25秒 | 當前最佳準確率: 0.1444

============================================================
Epoch 2/20 開始
訓練階段:
訓練 Epoch 2/20:  32%|██▎    | 319/990 [00:39<01:21,  8.24it/s, loss=3.2039, acc=12.30%, time=0.034s]
 批次 10/990 | 損失: 3.3437 | 準確率: 0.1359 | 批次時間: 0.102秒
 批次 20/990 | 損失: 3.3263 | 準確率: 0.1320 | 批次時間: 0.034秒
 批次 30/990 | 損失: 3.3409 | 準確率: 0.1266 | 批次時間: 0.034秒
 批次 40/990 | 損失: 3.3537 | 準確率: 0.1266 | 批次時間: 0.034秒
 批次 50/990 | 損失: 3.3577 | 準確率: 0.1288 | 批次時間: 0.034秒
 批次 60/990 | 損失: 3.3626 | 準確率: 0.1242 | 批次時間: 0.034秒
 批次 70/990 | 損失: 3.3650 | 準確率: 0.1228 | 批次時間: 0.034秒
 批次 80/990 | 損失: 3.3592 | 準確率: 0.1205 | 批次時間: 0.034秒
 批次 90/990 | 損失: 3.3560 | 準確率: 0.1217 | 批次時間: 0.034秒
 批次 100/990 | 損失: 3.3462 | 準確率: 0.1245 | 批次時間: 0.034秒
 批次 110/990 | 損失: 3.3469 | 準確率: 0.1226 | 批次時間: 0.103秒
 批次 120/990 | 損失: 3.3489 | 準確率: 0.1220 | 批次時間: 0.034秒
 批次 130/990 | 損失: 3.3476 | 準確率: 0.1231 | 批次時間: 0.034秒
 批次 140/990 | 損失: 3.3460 | 準確率: 0.1228 | 批次時間: 0.034秒
 批次 150/990 | 損失: 3.3453 | 準確率: 0.1219 | 批次時間: 0.034秒
 批次 160/990 | 損失: 3.3510 | 準確率: 0.1198 | 批次時間: 0.034秒
 批次 170/990 | 損失: 3.3482 | 準確率: 0.1208 | 批次時間: 0.034秒
 批次 180/990 | 損失: 3.3515 | 準確率: 0.1194 | 批次時間: 0.034秒
 批次 190/990 | 損失: 3.3471 | 準確率: 0.1200 | 批次時間: 0.034秒
 批次 200/990 | 損失: 3.3480 | 準確率: 0.1196 | 批次時間: 0.034秒
 批次 210/990 | 損失: 3.3505 | 準確率: 0.1190 | 批次時間: 0.100秒
 批次 220/990 | 損失: 3.3446 | 準確率: 0.1206 | 批次時間: 0.034秒
 批次 230/990 | 損失: 3.3431 | 準確率: 0.1198 | 批次時間: 0.034秒
 批次 240/990 | 損失: 3.3392 | 準確率: 0.1208 | 批次時間: 0.034秒
 批次 250/990 | 損失: 3.3379 | 準確率: 0.1212 | 批次時間: 0.034秒
 批次 260/990 | 損失: 3.3383 | 準確率: 0.1209 | 批次時間: 0.034秒
 批次 270/990 | 損失: 3.3386 | 準確率: 0.1212 | 批次時間: 0.034秒
 批次 280/990 | 損失: 3.3364 | 準確率: 0.1217 | 批次時間: 0.034秒
 批次 290/990 | 損失: 3.3363 | 準確率: 0.1219 | 批次時間: 0.034秒
 批次 300/990 | 損失: 3.3343 | 準確率: 0.1227 | 批次時間: 0.034秒
