開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 40/990 | 損失: 2.7809 | 準確率: 22.85% | 處理時間: 0.21秒
  批次 50/990 | 損失: 2.7128 | 準確率: 22.66% | 處理時間: 0.22秒
  批次 60/990 | 損失: 2.6713 | 準確率: 22.40% | 處理時間: 0.23秒
  批次 70/990 | 損失: 2.6243 | 準確率: 22.43% | 處理時間: 0.22秒
  批次 80/990 | 損失: 2.6530 | 準確率: 22.58% | 處理時間: 0.25秒
  批次 90/990 | 損失: 2.7402 | 準確率: 22.62% | 處理時間: 0.22秒
  批次 100/990 | 損失: 2.8518 | 準確率: 22.61% | 處理時間: 0.21秒
  批次 110/990 | 損失: 2.9127 | 準確率: 22.76% | 處理時間: 0.26秒
  批次 120/990 | 損失: 2.6109 | 準確率: 22.67% | 處理時間: 0.22秒
  批次 130/990 | 損失: 2.5273 | 準確率: 22.67% | 處理時間: 0.22秒
  批次 140/990 | 損失: 2.6698 | 準確率: 22.94% | 處理時間: 0.22秒
  批次 150/990 | 損失: 2.5850 | 準確率: 22.85% | 處理時間: 0.26秒
  批次 160/990 | 損失: 2.5231 | 準確率: 22.88% | 處理時間: 0.22秒
  批次 170/990 | 損失: 2.7895 | 準確率: 23.06% | 處理時間: 0.21秒
  批次 180/990 | 損失: 2.6267 | 準確率: 23.06% | 處理時間: 0.22秒
  批次 190/990 | 損失: 2.8120 | 準確率: 23.18% | 處理時間: 0.22秒
  批次 200/990 | 損失: 2.9558 | 準確率: 23.12% | 處理時間: 0.26秒
  批次 210/990 | 損失: 2.8497 | 準確率: 23.11% | 處理時間: 0.22秒
  批次 220/990 | 損失: 3.0302 | 準確率: 23.12% | 處理時間: 0.22秒
  批次 230/990 | 損失: 2.8244 | 準確率: 23.23% | 處理時間: 0.26秒
  批次 240/990 | 損失: 2.6363 | 準確率: 23.31% | 處理時間: 0.21秒
  批次 250/990 | 損失: 3.0215 | 準確率: 23.52% | 處理時間: 0.22秒
  批次 260/990 | 損失: 2.5561 | 準確率: 23.46% | 處理時間: 0.26秒
  批次 270/990 | 損失: 2.6298 | 準確率: 23.47% | 處理時間: 0.22秒
  批次 280/990 | 損失: 2.4156 | 準確率: 23.58% | 處理時間: 0.22秒
  批次 290/990 | 損失: 2.7588 | 準確率: 23.61% | 處理時間: 0.22秒
  批次 300/990 | 損失: 2.8404 | 準確率: 23.59% | 處理時間: 0.22秒
  批次 310/990 | 損失: 2.6330 | 準確率: 23.71% | 處理時間: 0.26秒
  批次 320/990 | 損失: 2.1923 | 準確率: 23.88% | 處理時間: 0.22秒
  批次 330/990 | 損失: 2.4903 | 準確率: 23.88% | 處理時間: 0.21秒
  批次 340/990 | 損失: 2.7192 | 準確率: 24.02% | 處理時間: 0.21秒
  批次 350/990 | 損失: 2.5914 | 準確率: 24.04% | 處理時間: 0.22秒
  批次 360/990 | 損失: 2.7015 | 準確率: 24.12% | 處理時間: 0.26秒
  批次 370/990 | 損失: 2.4418 | 準確率: 24.10% | 處理時間: 0.22秒
  批次 380/990 | 損失: 2.5245 | 準確率: 24.27% | 處理時間: 0.22秒
  批次 390/990 | 損失: 2.4139 | 準確率: 24.38% | 處理時間: 0.23秒
  批次 400/990 | 損失: 2.5338 | 準確率: 24.34% | 處理時間: 0.22秒
  批次 410/990 | 損失: 2.3259 | 準確率: 24.49% | 處理時間: 0.26秒
  批次 420/990 | 損失: 2.7403 | 準確率: 24.56% | 處理時間: 0.21秒
  批次 430/990 | 損失: 3.0988 | 準確率: 24.61% | 處理時間: 0.26秒
  批次 440/990 | 損失: 2.0950 | 準確率: 24.77% | 處理時間: 0.21秒
  批次 450/990 | 損失: 2.9252 | 準確率: 24.78% | 處理時間: 0.22秒
  批次 460/990 | 損失: 2.6681 | 準確率: 24.81% | 處理時間: 0.26秒
  批次 470/990 | 損失: 2.5359 | 準確率: 24.89% | 處理時間: 0.22秒
  批次 480/990 | 損失: 2.6223 | 準確率: 24.97% | 處理時間: 0.26秒
  批次 490/990 | 損失: 2.5784 | 準確率: 25.02% | 處理時間: 0.22秒
  批次 500/990 | 損失: 2.3476 | 準確率: 25.10% | 處理時間: 0.22秒
