加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 970/990 | 損失: 3.7205 | 準確率: 0.0626 | 批次時間: 0.497秒
 批次 980/990 | 損失: 3.7190 | 準確率: 0.0627 | 批次時間: 0.543秒
 批次 990/990 | 損失: 3.7177 | 準確率: 0.0631 | 批次時間: 0.163秒
訓練階段完成 | 平均損失: 3.7177 | 準確率: 0.0631 | 平均批次時間: 0.507秒 | 總時間: 574.61秒

驗證階段:
驗證 Epoch 1/20: 100%|█████████████████████████| 8/8 [00:01<00:00,  4.65it/s, loss=2.3634, acc=9.11%]
 驗證批次 8/8 | 當前準確率: 0.0911
驗證階段完成 | 平均損失: 3.3918 | 準確率: 0.0911 | 耗時: 1.72秒
發現更好的模型! 保存到 checkpoints/dynamic_conv_best.pth
新的最佳驗證準確率: 0.0911
Epoch 1/20 完成 | 總耗時: 576.34秒 | 當前最佳準確率: 0.0911

============================================================
Epoch 2/20 開始
訓練階段:
訓練 Epoch 2/20:  32%|██▌     | 319/990 [03:06<06:15,  1.79it/s, loss=3.5921, acc=9.96%, time=0.485s]
 批次 10/990 | 損失: 3.5444 | 準確率: 0.0984 | 批次時間: 0.664秒
 批次 20/990 | 損失: 3.5608 | 準確率: 0.0906 | 批次時間: 0.577秒
 批次 30/990 | 損失: 3.5687 | 準確率: 0.0870 | 批次時間: 0.573秒
 批次 40/990 | 損失: 3.5751 | 準確率: 0.0863 | 批次時間: 0.572秒
 批次 50/990 | 損失: 3.5792 | 準確率: 0.0862 | 批次時間: 0.489秒
 批次 60/990 | 損失: 3.5719 | 準確率: 0.0906 | 批次時間: 0.488秒
 批次 70/990 | 損失: 3.5749 | 準確率: 0.0913 | 批次時間: 0.575秒
 批次 80/990 | 損失: 3.5712 | 準確率: 0.0914 | 批次時間: 0.471秒
 批次 90/990 | 損失: 3.5673 | 準確率: 0.0918 | 批次時間: 0.476秒
 批次 100/990 | 損失: 3.5674 | 準確率: 0.0925 | 批次時間: 0.487秒
 批次 110/990 | 損失: 3.5578 | 準確率: 0.0952 | 批次時間: 0.551秒
 批次 120/990 | 損失: 3.5546 | 準確率: 0.0952 | 批次時間: 0.574秒
 批次 130/990 | 損失: 3.5548 | 準確率: 0.0954 | 批次時間: 0.488秒
 批次 140/990 | 損失: 3.5521 | 準確率: 0.0965 | 批次時間: 0.489秒
 批次 150/990 | 損失: 3.5499 | 準確率: 0.0976 | 批次時間: 0.574秒
 批次 160/990 | 損失: 3.5495 | 準確率: 0.0985 | 批次時間: 0.572秒
 批次 170/990 | 損失: 3.5471 | 準確率: 0.0986 | 批次時間: 0.466秒
 批次 180/990 | 損失: 3.5484 | 準確率: 0.0985 | 批次時間: 0.471秒
 批次 190/990 | 損失: 3.5462 | 準確率: 0.0993 | 批次時間: 0.488秒
 批次 200/990 | 損失: 3.5478 | 準確率: 0.0992 | 批次時間: 0.485秒
 批次 210/990 | 損失: 3.5489 | 準確率: 0.0993 | 批次時間: 0.550秒
 批次 220/990 | 損失: 3.5476 | 準確率: 0.0994 | 批次時間: 0.489秒
 批次 230/990 | 損失: 3.5471 | 準確率: 0.0997 | 批次時間: 0.487秒
 批次 240/990 | 損失: 3.5453 | 準確率: 0.0993 | 批次時間: 0.487秒
 批次 250/990 | 損失: 3.5443 | 準確率: 0.0988 | 批次時間: 0.484秒
 批次 260/990 | 損失: 3.5424 | 準確率: 0.0991 | 批次時間: 0.512秒
 批次 270/990 | 損失: 3.5399 | 準確率: 0.0988 | 批次時間: 0.574秒
 批次 280/990 | 損失: 3.5385 | 準確率: 0.0996 | 批次時間: 0.481秒
 批次 290/990 | 損失: 3.5382 | 準確率: 0.0992 | 批次時間: 0.473秒
 批次 300/990 | 損失: 3.5375 | 準確率: 0.0993 | 批次時間: 0.476秒
 批次 310/990 | 損失: 3.5370 | 準確率: 0.0991 | 批次時間: 0.662秒
 批次 320/990 | 損失: 3.5364 | 準確率: 0.0996 | 批次時間: 0.485秒
 批次 330/990 | 損失: 3.5350 | 準確率: 0.1001 | 批次時間: 0.488秒
 批次 340/990 | 損失: 3.5338 | 準確率: 0.1002 | 批次時間: 0.575秒
 批次 350/990 | 損失: 3.5334 | 準確率: 0.1004 | 批次時間: 0.488秒
 批次 360/990 | 損失: 3.5341 | 準確率: 0.1003 | 批次時間: 0.488秒
 批次 370/990 | 損失: 3.5323 | 準確率: 0.1007 | 批次時間: 0.474秒
